1,Filipino
2,Afghan
3,Albanian
4,Algerian
5,American
6,Andorran
7,Angolan
8,Antiguan
9,Argentine
10,Armenian
11,Australian
12,Austrian
13,Azerbaijani
14,Bahamian
15,Bahraini
16,Bangladeshi
17,Barbadian
18,Barbudan
19,Batswana
20,Belarusian
21,Belgian
22,Belizean
23,Beninese
24,Bhutanese
25,Bolivian
26,Bosnian
27,Brazilian
28,British
29,Bruneian
30,Bulgarian
31,Burkinabe
32,Burmese
33,Burundian
34,Cambodian
35,Cameroonian
36,Canadian
37,Cape Verdean
38,Central African
39,Chadian
40,Chilean
41,Chinese
42,Colombian
43,Comoran
44,Congolese
45,Costa Rican
46,Croatian
47,Cuban
48,Cypriot
49,Czech
50,Danish
51,Djiboutian
52,Dominican
53,Dutch
54,East Timorese
55,Ecuadorian
56,Egyptian
57,Emirati
58,Equatorial Guinean
59,Eritrean
60,Estonian
61,Ethiopian
62,Fijian
63,Finnish
64,French
65,Gabonese
66,Gambian
67,Georgian
68,German
69,Ghanaian
70,Greek
71,Grenadian
72,Guatemalan
73,Guinea-Bissauan
74,Guinean
75,Guyanese
76,Haitian
77,Bosnian and Herzegovinian
78,Honduran
79,Hungarian
80,Kiribati
81,Icelander
82,Indian
83,Indonesian
84,Iranian
85,Iraqi
86,Irish
87,Israeli
88,Italian
89,Ivorian
90,Jamaican
91,Japanese
92,Jordanian
93,Kazakhstani
94,Kenyan
95,Saint Kitts and Nevis
96,Kuwaiti
97,Kyrgyz
98,Laotian
99,Latvian
100,Lebanese
101,Liberian
102,Libyan
103,Liechtensteiner
104,Lithuanian
105,Luxembourger
106,Macedonian
107,Malagasy
108,Malawian
109,Malaysian
110,Maldivian
111,Malian
112,Maltese
113,Marshallese
114,Mauritanian
115,Mauritian
116,Mexican
117,Micronesian
118,Moldovan
119,Monacan
120,Mongolian
121,Moroccan
122,Mosotho
123,Motswana
124,Mozambican
125,Namibian
126,Nauruan
127,Nepalese
128,New Zealander
129,Ni-Vanuatu
130,Nicaraguan
131,Nigerian
132,Nigerien
133,North Korean
134,Northern Irish
135,Norwegian
136,Omani
137,Pakistani
138,Palauan
139,Panamanian
140,Papua New Guinean
141,Paraguayan
142,Peruvian
143,Polish
144,Portuguese
145,Qatari
146,Romanian
147,Russian
148,Rwandan
149,Saint Lucian
150,Salvadoran
151,Samoan
152,San Marinese
153,Sao Tomean
154,Saudi
155,Scottish
156,Senegalese
157,Serbian
158,Seychellois
159,Sierra Leonean
160,Singaporean
161,Slovak
162,Slovenian
163,Solomon Islander
164,Somali
165,South African
166,South Korean
167,Spanish
168,Sri Lankan
169,Sudanese
170,Surinamese
171,Swazi
172,Swedish
173,Swiss
174,Syrian
175,Taiwanese
176,Tajik
177,Tanzanian
178,Thai
179,Togolese
180,Tongan
181,Trinidadian or Tobagonian
182,Tunisian
183,Turkish
184,Tuvaluan
185,Ugandan
186,Ukrainian
187,Uruguayan
188,Uzbek
189,Venezuelan
190,Vietnamese
191,Welsh
192,Yemeni
193,Zambian
194,Zimbabwean
